year,month,jenis,kode_trayek,trayek,jumlah_penumpang,halte_awal,halte_tujuan,latitude_awal,longitude_awal,latitude_tujuan,longitude_tujuan
2021,3,Angkutan Umum Integrasi,9D,Pasar Minggu - Tanah Abang,74555,Pasar Minggu,Tanah Abang,-6.2825,106.82,-6.184,106.8225
2021,3,Angkutan Umum Integrasi,8K,Batu Sari - Tanah Abang,8570,Batu Sari,Tanah Abang,-6.1785,106.825,-6.184,106.8225
2021,3,Angkutan Umum Integrasi,8E,Bintaro - Blok M,19297,Bintaro,Blok M,-6.2713928,106.7608618,106.801751,-6.243312
2021,3,Angkutan Umum Integrasi,8D,Joglo - Blok M,34009,Joglo,Blok M,-6.219017,106.7383023,106.801751,-6.243312
2021,3,Angkutan Umum Integrasi,8C,Kebayoran Lama - Tanah Abang,18192,Kebayoran Lama,Tanah Abang,106.777515,-6.23834,-6.184,106.8225
2021,3,Angkutan Umum Integrasi,7P,Pondok Kelapa - BKN,24723,Pondok Kelapa,BKN,-6.207,106.902,-6.209,106.83
2021,3,Angkutan Umum Integrasi,7D,Pancoran - TMII,23286,Pancoran,TMII,-6.2385,106.846,-6.3025,106.895
2021,3,Angkutan Umum Integrasi,7B,Kampung Rambutan - Blok M,82559,Kampung Rambutan,Blok M,106.882155,-6.309885,106.801751,-6.243312
2021,3,Angkutan Umum Integrasi,7A,Kampung Rambutan - Lebak Bulus,49219,Kampung Rambutan,Lebak Bulus,106.882155,-6.309885,106.774151,-6.289413
2021,3,Angkutan Umum Integrasi,6R,Ragunan - Stasin MRT Fatmawati,2157,Ragunan,Stasiun MRT Fatmawati,106.819485,-6.305769,-6.2924669,106.7924543
2021,3,Angkutan Umum Integrasi,6N,Ragunan - Blok M via Kemang,13318,Ragunan,Blok M,106.819485,-6.305769,106.801751,-6.243312
2021,3,Angkutan Umum Integrasi,6M,Stasiun Manggarai - Blok M,24251,Stasiun Manggarai,Blok M,-6.224,106.8485,106.801751,-6.243312
2021,3,Angkutan Umum Integrasi,6H,Senen - Lebak Bulus,18468,Senen,Lebak Bulus,-6.1775,106.848,106.774151,-6.289413
2021,3,Angkutan Umum Integrasi,6C,Stasin Tebet - Karet via Patra Kuningan,93959,Stasiun Tebet,Karet,106.858139,-6.225503,106.820031,-6.212457
2021,3,Angkutan Umum Integrasi,5M,Kampung Melayu - Tanah Abang via Cikini,79666,Kampung Melayu,Tanah Abang,106.866821,-6.224673,-6.184,106.8225
2021,3,Angkutan Umum Integrasi,5F,Kampung Melayu - Tanah Abang,19217,Kampung Melayu,Tanah Abang,106.866821,-6.224673,-6.184,106.8225
2021,3,Angkutan Umum Integrasi,5B,Stasiun Tebet - Bidara Cina,8638,Stasiun Tebet,Bidara Cina,106.858139,-6.225503,106.867208,-6.229724
2021,3,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,41635,Pinang Ranti,Pulo Gadung,106.886338,-6.291075,106.90885,-6.183325
2021,3,Angkutan Umum Integrasi,4B,Stasiun Manggarai - UI,40301,Stasiun Manggarai,UI,-6.224,106.8485,-6.3477829,106.8312304
2021,3,Angkutan Umum Integrasi,3E,Puri Kembangan - Sentraland Cengkareng,23513,Puri Kembangan,Sentraland Cengkareng,-6.171,106.746,-6.128,106.743
2021,3,Angkutan Umum Integrasi,2Q,Gondangdia - Balai Kota,8440,Gondangdia,Balai Kota,-6.1859109,106.8325657,106.826456,-6.180488
2021,3,Angkutan Umum Integrasi,2P,Gondangdia - Senen,6130,Gondangdia,Senen,-6.1859109,106.8325657,-6.1775,106.848
2021,3,Angkutan Umum Integrasi,1R,Senen - Tanah Abang,15225,Senen,Tanah Abang,-6.1775,106.848,-6.184,106.8225
2021,3,Angkutan Umum Integrasi,1Q,Rempoa - Blok M,27200,Rempoa,Blok M,-6.2778768,106.7610741,106.801751,-6.243312
2021,3,Angkutan Umum Integrasi,1P,Senen - Bundaran Senayan,8456,Senen,Bundaran Senayan,-6.1775,106.848,106.800939,-6.227869
2021,3,Angkutan Umum Integrasi,1N,Tanah Abang - Blok M,9235,Tanah Abang,Blok M,-6.184,106.8225,106.801751,-6.243312
2021,3,Angkutan Umum Integrasi,1M,Meruya - Blok M,25278,Meruya,Blok M,-6.178,106.737,106.801751,-6.243312
2021,3,Angkutan Umum Integrasi,1H,Tanah Abang - Stasiun Gondangdia,38768,Tanah Abang,Stasiun Gondangdia,-6.184,106.8225,-6.1855,106.8275
2021,3,Angkutan Umum Integrasi,1F,Stasiun Palmerah - Bundaran Senayan,8308,Stasiun Palmerah,Bundaran Senayan,-6.2071372,106.7975907,106.800939,-6.227869
2021,3,Angkutan Umum Integrasi,1E,Pondok Labu - Blok M,68895,Pondok Labu,Blok M,-6.3091437,106.7979382,106.801751,-6.243312
2021,3,Angkutan Umum Integrasi,1C,Pesanggrahan - Blok M,14794,Pesanggrahan,Blok M,-6.2554579,106.763112,106.801751,-6.243312
2021,3,Angkutan Umum Integrasi,1B,Stasiun Palmerah - Tosari,20906,Stasiun Palmerah,Tosari,-6.2071372,106.7975907,106.823092,-6.196892
2021,3,Angkutan Umum Integrasi,1A,Pantai Maju - Balai Kota,68592,Pantai Maju,Balai Kota,-6.0868667,106.7485425,106.826456,-6.180488
2021,3,Angkutan Umum Integrasi,12B,Pluit - Senen,12131,Pluit,Senen,106.790371,-6.115795,-6.1775,106.848
